Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
AAPL,2021-10-28,2021-10-29,152.57,147.91,STOP_LOSS,-3.06,9694.47
AAPL,2021-11-01,2021-11-19,148.96,159.13,TAKE_PROFIT,6.82,10356.07
AAPL,2021-11-22,2021-12-08,161.02,172.55,TAKE_PROFIT,7.16,11097.72
AAPL,2021-12-09,2022-01-20,174.56,164.73,STOP_LOSS,-5.63,10472.77
AAPL,2022-01-28,2022-02-23,170.33,159.81,STOP_LOSS,-6.17,9826.21
AAPL,2022-03-29,2022-04-06,178.96,170.15,STOP_LOSS,-4.92,9342.71
AAPL,2022-07-27,2022-08-12,156.79,171.62,TAKE_PROFIT,9.46,10226.31
AAPL,2022-08-17,2022-08-22,174.55,167.59,STOP_LOSS,-3.99,9818.71
AAPL,2022-09-12,2022-09-13,163.43,155.48,STOP_LOSS,-4.86,9341.26
AAPL,2023-02-01,2023-03-21,145.43,159.17,TAKE_PROFIT,9.45,10223.99
AAPL,2023-03-22,2023-05-05,157.83,173.0,TAKE_PROFIT,9.61,11206.58
AAPL,2023-05-17,2023-06-05,172.69,183.84,TAKE_PROFIT,6.45,11929.88
AAPL,2023-06-06,2023-06-30,179.21,190.52,TAKE_PROFIT,6.31,12683.06
AAPL,2023-07-10,2023-08-04,188.61,183.16,STOP_LOSS,-2.89,12316.48
AAPL,2023-11-10,2023-12-14,186.4,199.53,TAKE_PROFIT,7.04,13184.14
AAPL,2023-12-15,2023-12-27,197.57,191.7,STOP_LOSS,-2.97,12792.24
AAPL,2024-01-18,2024-02-02,188.63,181.38,STOP_LOSS,-3.84,12300.86
AAPL,2024-05-13,2024-06-11,186.28,203.33,TAKE_PROFIT,9.15,13426.46
AAPL,2024-06-12,2024-07-10,213.07,231.49,TAKE_PROFIT,8.64,14587.0
AAPL,2024-08-29,2024-09-03,229.79,222.31,STOP_LOSS,-3.26,14112.18
AAPL,2024-09-19,2024-12-11,228.87,249.6,TAKE_PROFIT,9.06,15390.13
AAPL,2024-12-16,2025-01-02,251.04,244.4,STOP_LOSS,-2.64,14983.15
AAPL,2025-02-21,2025-02-28,245.55,235.24,STOP_LOSS,-4.2,14354.22
AAPL,2025-03-07,2025-03-10,239.07,227.81,STOP_LOSS,-4.71,13678.15
AAPL,2025-07-29,2025-08-01,211.27,205.44,STOP_LOSS,-2.76,13300.88
AAPL,2025-08-06,2025-08-13,213.25,231.31,TAKE_PROFIT,8.47,14427.15
AAPL,2025-09-03,2025-09-10,238.47,230.13,STOP_LOSS,-3.5,13922.85
AAPL,2025-09-12,2025-09-22,234.07,252.3,TAKE_PROFIT,7.79,15007.11
AAPL,2025-10-17,2025-10-29,252.29,270.93,TAKE_PROFIT,7.39,16115.71
AAPL,2025-10-30,2026-01-07,271.4,261.15,STOP_LOSS,-3.78,15506.9
AAPL,2026-04-21,2026-05-07,266.17,290.74,TAKE_PROFIT,9.23,16938.42
AAPL,2026-05-08,2026-06-25,293.32,279.47,STOP_LOSS,-4.72,16138.78
