Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
GOOGL,2021-09-15,2021-09-17,144.43,140.59,STOP_LOSS,-2.66,9734.08
GOOGL,2021-10-14,2022-01-10,141.15,134.99,STOP_LOSS,-4.36,9309.26
GOOGL,2022-03-29,2022-04-06,142.51,135.78,STOP_LOSS,-4.72,8870.15
GOOGL,2023-01-27,2023-02-09,99.37,93.67,STOP_LOSS,-5.74,8360.96
GOOGL,2023-03-17,2023-05-10,101.62,112.87,TAKE_PROFIT,11.07,9286.93
GOOGL,2023-05-11,2023-07-26,116.57,129.12,TAKE_PROFIT,10.77,10287.11
GOOGL,2023-07-27,2023-10-26,129.4,121.89,STOP_LOSS,-5.8,9690.41
GOOGL,2023-11-17,2023-12-04,135.31,130.51,STOP_LOSS,-3.55,9346.55
GOOGL,2023-12-07,2023-12-14,136.93,130.55,STOP_LOSS,-4.66,8910.97
GOOGL,2023-12-18,2024-01-25,135.8,149.94,TAKE_PROFIT,10.41,9839.0
GOOGL,2024-01-26,2024-01-31,152.19,146.51,STOP_LOSS,-3.73,9471.52
GOOGL,2024-04-04,2024-04-26,150.53,165.08,TAKE_PROFIT,9.66,10386.93
GOOGL,2024-04-29,2024-06-27,166.15,185.25,TAKE_PROFIT,11.5,11581.15
GOOGL,2024-06-28,2024-07-24,182.15,175.56,STOP_LOSS,-3.62,11162.25
GOOGL,2024-10-29,2024-10-30,169.68,181.4,TAKE_PROFIT,6.91,11933.43
GOOGL,2024-10-31,2024-12-11,171.11,186.5,TAKE_PROFIT,8.99,13006.65
GOOGL,2024-12-12,2025-02-07,191.96,183.71,STOP_LOSS,-4.3,12447.55
GOOGL,2025-05-30,2025-07-24,171.74,192.56,TAKE_PROFIT,12.12,13956.57
GOOGL,2025-07-29,2025-08-01,195.75,187.89,STOP_LOSS,-4.01,13396.27
GOOGL,2025-08-08,2025-09-03,201.42,218.61,TAKE_PROFIT,8.54,14539.84
GOOGL,2025-09-04,2025-09-19,232.3,255.84,TAKE_PROFIT,10.13,16013.23
GOOGL,2025-10-17,2025-10-30,253.3,277.25,TAKE_PROFIT,9.45,17527.22
GOOGL,2025-10-31,2025-11-24,281.19,312.7,TAKE_PROFIT,11.21,19491.58
GOOGL,2025-11-25,2025-12-17,323.44,299.17,STOP_LOSS,-7.5,18028.99
GOOGL,2025-12-19,2026-01-13,307.16,338.58,TAKE_PROFIT,10.23,19873.04
GOOGL,2026-01-16,2026-02-05,330.0,315.64,STOP_LOSS,-4.35,19008.18
GOOGL,2026-04-24,2026-04-30,344.4,376.16,TAKE_PROFIT,9.22,20760.92
GOOGL,2026-05-01,2026-06-02,385.69,365.92,STOP_LOSS,-5.13,19696.59
