Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
MSFT,2021-09-14,2021-09-20,299.79,292.21,STOP_LOSS,-2.53,9747.3
MSFT,2021-09-22,2021-09-28,298.58,289.23,STOP_LOSS,-3.13,9442.11
MSFT,2021-10-06,2021-10-27,293.11,319.46,TAKE_PROFIT,8.99,10290.8
MSFT,2021-10-28,2021-11-19,324.35,344.19,TAKE_PROFIT,6.12,10920.36
MSFT,2021-11-22,2021-11-26,339.83,329.88,STOP_LOSS,-2.93,10600.76
MSFT,2021-11-29,2021-12-03,336.63,325.14,STOP_LOSS,-3.41,10238.88
MSFT,2021-12-07,2021-12-17,334.92,319.2,STOP_LOSS,-4.69,9758.39
MSFT,2022-01-03,2022-01-05,334.75,319.75,STOP_LOSS,-4.48,9321.08
MSFT,2022-12-12,2022-12-19,252.51,240.39,STOP_LOSS,-4.8,8873.74
MSFT,2023-02-02,2023-02-22,264.6,251.16,STOP_LOSS,-5.08,8423.15
MSFT,2023-03-13,2023-03-16,253.92,275.93,TAKE_PROFIT,8.67,9153.33
MSFT,2023-03-17,2023-04-28,279.43,305.5,TAKE_PROFIT,9.33,10007.26
MSFT,2023-05-10,2023-06-15,312.31,339.73,TAKE_PROFIT,8.78,10885.78
MSFT,2023-06-16,2023-07-10,342.33,328.32,STOP_LOSS,-4.09,10440.41
MSFT,2023-07-12,2023-07-18,337.2,363.41,TAKE_PROFIT,7.77,11252.06
MSFT,2023-07-19,2023-07-26,355.08,338.78,STOP_LOSS,-4.59,10735.53
MSFT,2023-09-14,2023-09-18,338.7,328.26,STOP_LOSS,-3.08,10404.53
MSFT,2023-10-18,2023-11-07,330.11,357.78,TAKE_PROFIT,8.38,11276.78
MSFT,2023-11-08,2024-01-16,363.2,393.67,TAKE_PROFIT,8.39,12222.69
MSFT,2024-01-17,2024-01-30,389.47,412.52,TAKE_PROFIT,5.92,12946.11
MSFT,2024-01-31,2024-03-14,397.58,424.47,TAKE_PROFIT,6.76,13821.57
MSFT,2024-03-15,2024-04-19,416.42,400.78,STOP_LOSS,-3.76,13302.51
MSFT,2024-05-15,2024-05-31,423.08,407.69,STOP_LOSS,-3.64,12818.61
MSFT,2024-06-12,2024-07-25,441.06,426.16,STOP_LOSS,-3.38,12385.66
MSFT,2024-09-20,2024-10-02,435.27,418.18,STOP_LOSS,-3.93,11899.28
MSFT,2024-10-29,2024-10-31,431.95,418.75,STOP_LOSS,-3.05,11535.76
MSFT,2024-12-04,2024-12-31,437.42,421.48,STOP_LOSS,-3.64,11115.43
MSFT,2025-01-22,2025-01-27,446.2,428.21,STOP_LOSS,-4.03,10667.34
MSFT,2025-01-28,2025-01-30,447.2,427.15,STOP_LOSS,-4.48,10189.18
MSFT,2025-05-13,2025-06-25,449.14,492.72,TAKE_PROFIT,9.7,11177.77
MSFT,2025-06-26,2025-07-31,497.45,523.82,TAKE_PROFIT,5.3,11770.28
MSFT,2025-08-01,2025-08-20,524.11,504.94,STOP_LOSS,-3.66,11339.76
MSFT,2025-09-12,2025-10-28,509.9,539.25,TAKE_PROFIT,5.76,11992.39
MSFT,2025-10-29,2025-10-30,541.55,523.82,STOP_LOSS,-3.27,11599.83
MSFT,2026-04-29,2026-04-30,424.46,402.1,STOP_LOSS,-5.27,10988.65
MSFT,2026-05-15,2026-06-09,421.92,399.1,STOP_LOSS,-5.41,10394.31
