Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
SPY,2021-09-15,2021-09-17,447.88,441.09,STOP_LOSS,-1.52,9848.49
SPY,2021-10-29,2021-12-01,459.25,451.63,STOP_LOSS,-1.66,9685.18
SPY,2021-12-07,2021-12-20,468.28,453.45,STOP_LOSS,-3.17,9378.45
SPY,2022-03-31,2022-04-12,451.64,437.53,STOP_LOSS,-3.12,9085.4
SPY,2022-08-10,2022-08-26,419.99,407.52,STOP_LOSS,-2.97,8815.64
SPY,2022-11-18,2022-12-19,396.03,380.27,STOP_LOSS,-3.98,8464.73
SPY,2023-01-18,2023-02-02,391.49,416.72,TAKE_PROFIT,6.44,9010.15
SPY,2023-02-03,2023-02-21,412.35,399.9,STOP_LOSS,-3.02,8738.14
SPY,2023-03-03,2023-03-09,404.19,393.33,STOP_LOSS,-2.69,8503.42
SPY,2023-03-31,2023-06-13,409.39,435.29,TAKE_PROFIT,6.33,9041.45
SPY,2023-06-14,2023-07-18,437.18,454.69,TAKE_PROFIT,4.0,9403.49
SPY,2023-07-26,2023-08-03,455.51,448.73,STOP_LOSS,-1.49,9263.56
SPY,2023-08-29,2023-09-20,449.16,438.62,STOP_LOSS,-2.35,9046.18
SPY,2023-11-30,2023-12-13,456.4,470.57,TAKE_PROFIT,3.11,9327.12
SPY,2023-12-14,2024-01-24,472.01,487.26,TAKE_PROFIT,3.23,9628.38
SPY,2024-01-31,2024-02-09,482.88,499.2,TAKE_PROFIT,3.38,9953.8
SPY,2024-02-13,2024-03-01,494.08,511.73,TAKE_PROFIT,3.57,10309.29
SPY,2024-03-05,2024-04-19,507.18,498.27,STOP_LOSS,-1.76,10128.15
SPY,2024-05-03,2024-06-11,511.29,536.9,TAKE_PROFIT,5.01,10635.54
SPY,2024-06-12,2024-07-12,541.36,562.57,TAKE_PROFIT,3.92,11052.32
SPY,2024-07-17,2024-07-24,556.94,547.5,STOP_LOSS,-1.7,10864.93
SPY,2024-07-31,2024-08-02,550.81,535.64,STOP_LOSS,-2.75,10565.64
SPY,2024-08-30,2024-09-03,563.68,551.15,STOP_LOSS,-2.22,10330.8
SPY,2024-09-11,2024-10-17,554.42,585.95,TAKE_PROFIT,5.69,10918.34
SPY,2024-10-23,2024-11-08,577.99,598.2,TAKE_PROFIT,3.5,11300.09
SPY,2024-11-12,2024-11-15,596.9,584.75,STOP_LOSS,-2.04,11070.13
SPY,2024-11-19,2025-01-13,590.3,577.01,STOP_LOSS,-2.25,10820.81
SPY,2025-01-27,2025-02-27,599.37,584.69,STOP_LOSS,-2.45,10555.76
SPY,2025-05-14,2025-07-03,587.59,621.55,TAKE_PROFIT,5.78,11165.83
SPY,2025-07-07,2025-08-13,620.68,643.45,TAKE_PROFIT,3.67,11575.43
SPY,2025-08-20,2025-09-16,638.11,661.68,TAKE_PROFIT,3.69,12002.97
SPY,2025-09-17,2025-10-27,659.18,679.45,TAKE_PROFIT,3.07,12371.99
SPY,2025-10-29,2025-11-06,687.39,669.28,STOP_LOSS,-2.63,12046.09
SPY,2025-12-10,2025-12-17,687.57,672.04,STOP_LOSS,-2.26,11773.98
SPY,2025-12-19,2026-03-09,680.59,668.28,STOP_LOSS,-1.81,11561.05
SPY,2026-04-30,2026-05-14,718.66,746.6,TAKE_PROFIT,3.89,12010.52
SPY,2026-05-15,2026-06-09,739.17,724.76,STOP_LOSS,-1.95,11776.44
SPY,2026-06-12,2026-06-26,741.75,722.77,STOP_LOSS,-2.56,11475.15
