Symbol,Total Trades,Wins,Losses,Win Rate %,Net Profit %,Final Balance,Profit Factor,Average Trade %,Best Trade %,Worst Trade %
SPY,38,16,22,42.11,14.75,11475.15,1.3,0.42,6.44,-3.98
QQQ,44,17,27,38.64,12.86,11285.55,1.2,0.37,7.99,-4.59
AAPL,32,15,17,46.88,61.39,16138.78,1.8,1.69,9.61,-6.17
MSFT,36,13,23,36.11,3.94,10394.31,1.11,0.26,9.7,-5.41
NVDA,43,22,21,51.16,193.54,29354.47,1.81,3.14,20.35,-12.43
TSLA,32,10,22,31.25,-43.21,5679.41,0.83,-1.06,24.32,-13.52
AMD,39,18,21,46.15,121.32,22132.42,1.62,2.76,19.53,-11.81
META,30,14,16,46.67,82.5,18250.41,1.86,2.35,14.14,-8.68
AMZN,30,11,19,36.67,14.43,11442.7,1.23,0.73,13.83,-8.38
GOOGL,28,14,14,50.0,96.97,19696.59,2.19,2.72,12.12,-7.5
