Symbol,Entry Date,Exit Date,Shares,Entry Price,Exit Price,Exit Reason,PnL %,PnL,Cash
META,2021-09-13,2021-09-17,75,376.51,363.27,STOP_LOSS,-3.52,-993.0,99007.0
QQQ,2021-09-13,2021-09-20,151,376.33,369.8,STOP_LOSS,-1.74,-986.03,98020.97
MSFT,2021-09-14,2021-09-20,129,299.79,292.21,STOP_LOSS,-2.53,-977.82,97043.15
AMZN,2021-09-15,2021-09-20,166,173.79,167.97,STOP_LOSS,-3.35,-966.12,96077.03
GOOGL,2021-09-15,2021-09-17,250,144.43,140.59,STOP_LOSS,-2.66,-960.0,95117.03
SPY,2021-09-15,2021-09-17,140,447.88,441.09,STOP_LOSS,-1.52,-950.6,94166.43
NVDA,2021-09-22,2021-09-28,804,21.94,20.77,STOP_LOSS,-5.35,-940.68,93225.75
MSFT,2021-09-22,2021-09-28,99,298.58,289.23,STOP_LOSS,-3.13,-925.65,92300.1
AMD,2021-09-27,2021-09-28,167,108.16,102.66,STOP_LOSS,-5.09,-918.5,91381.6
GOOGL,2021-10-14,2022-01-10,148,141.15,134.99,STOP_LOSS,-4.36,-911.68,90469.92
AAPL,2021-10-28,2021-10-29,194,152.57,147.91,STOP_LOSS,-3.06,-904.04,89565.88
SPY,2021-10-29,2021-12-01,117,459.25,451.63,STOP_LOSS,-1.66,-891.54,88674.34
TSLA,2021-11-02,2021-11-09,27,390.67,358.18,STOP_LOSS,-8.31,-877.23,87797.11
QQQ,2021-11-05,2021-11-10,103,398.6,390.09,STOP_LOSS,-2.14,-876.53,86920.58
AMZN,2021-11-05,2021-12-03,104,175.95,167.62,STOP_LOSS,-4.73,-866.32,86054.26
AMD,2021-11-10,2022-01-10,62,139.87,126.13,STOP_LOSS,-9.82,-851.88,85202.38
TSLA,2021-11-10,2021-12-16,17,355.98,307.84,STOP_LOSS,-13.52,-818.38,84384.0
QQQ,2021-11-18,2021-11-23,96,401.75,393.0,STOP_LOSS,-2.18,-840.0,83544.0
MSFT,2021-11-22,2021-11-26,83,339.83,329.88,STOP_LOSS,-2.93,-825.85,82718.15
NVDA,2021-11-23,2021-12-14,209,31.75,27.8,STOP_LOSS,-12.43,-825.55,81892.6
QQQ,2021-11-24,2021-12-01,80,398.76,388.6,STOP_LOSS,-2.55,-812.8,81079.8
MSFT,2021-11-29,2021-12-03,70,336.63,325.14,STOP_LOSS,-3.41,-804.3,80275.5
