Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
AMD,2021-09-27,2021-09-28,108.16,102.66,STOP_LOSS,-5.09,9491.49
AMD,2021-10-13,2021-10-25,109.16,122.72,TAKE_PROFIT,12.42,10670.54
AMD,2021-10-26,2021-11-04,122.93,136.82,TAKE_PROFIT,11.3,11876.09
AMD,2021-11-05,2021-11-09,136.34,155.12,TAKE_PROFIT,13.77,13511.95
AMD,2021-11-10,2022-01-10,139.87,126.13,STOP_LOSS,-9.82,12185.03
AMD,2022-08-04,2022-08-09,103.91,94.91,STOP_LOSS,-8.66,11129.31
AMD,2022-11-30,2022-12-06,77.63,69.97,STOP_LOSS,-9.86,10031.76
AMD,2022-12-13,2022-12-16,71.65,65.73,STOP_LOSS,-8.27,9202.5
AMD,2023-01-23,2023-03-15,76.53,89.2,TAKE_PROFIT,16.55,10725.51
AMD,2023-03-16,2023-04-17,96.6,88.7,STOP_LOSS,-8.18,9847.9
AMD,2023-05-02,2023-05-03,89.91,84.41,STOP_LOSS,-6.12,9245.16
AMD,2023-05-05,2023-05-18,89.84,105.95,TAKE_PROFIT,17.94,10903.44
AMD,2023-05-23,2023-05-30,108.12,127.54,TAKE_PROFIT,17.96,12861.57
AMD,2023-05-31,2023-06-23,118.21,107.48,STOP_LOSS,-9.07,11694.59
AMD,2023-07-14,2023-08-02,115.94,108.28,STOP_LOSS,-6.61,10921.51
AMD,2023-08-04,2023-08-14,115.82,105.94,STOP_LOSS,-8.53,9989.99
AMD,2023-11-09,2023-12-08,113.49,129.86,TAKE_PROFIT,14.43,11431.34
AMD,2023-12-11,2024-01-16,134.41,152.15,TAKE_PROFIT,13.2,12940.33
AMD,2024-01-17,2024-01-25,160.17,183.69,TAKE_PROFIT,14.68,14840.55
AMD,2024-01-26,2024-03-04,177.25,209.34,TAKE_PROFIT,18.1,17527.21
AMD,2024-03-05,2024-03-14,205.13,187.89,STOP_LOSS,-8.41,16053.91
AMD,2024-07-08,2024-07-17,178.69,165.86,STOP_LOSS,-7.18,14901.62
AMD,2024-09-25,2024-10-23,162.02,151.44,STOP_LOSS,-6.53,13928.4
AMD,2024-10-28,2024-10-30,159.92,149.92,STOP_LOSS,-6.25,13057.19
AMD,2025-05-15,2025-06-24,114.99,133.34,TAKE_PROFIT,15.96,15141.33
AMD,2025-06-25,2025-07-25,143.4,165.14,TAKE_PROFIT,15.16,17436.52
AMD,2025-07-28,2025-08-06,173.66,161.54,STOP_LOSS,-6.98,16219.16
AMD,2025-08-07,2025-09-02,172.4,156.63,STOP_LOSS,-9.15,14735.81
AMD,2025-10-02,2025-10-06,169.73,190.62,TAKE_PROFIT,12.31,16549.84
AMD,2025-10-07,2025-10-24,211.51,252.82,TAKE_PROFIT,19.53,19782.52
AMD,2025-11-05,2025-11-07,256.33,234.72,STOP_LOSS,-8.43,18114.86
AMD,2025-11-12,2025-11-18,258.89,231.47,STOP_LOSS,-10.59,16196.05
AMD,2026-01-02,2026-01-07,223.47,208.07,STOP_LOSS,-6.89,15080.24
AMD,2026-01-15,2026-01-23,227.92,263.17,TAKE_PROFIT,15.47,17412.82
AMD,2026-01-30,2026-02-04,236.73,211.74,STOP_LOSS,-10.56,15574.35
AMD,2026-04-08,2026-04-16,231.82,275.78,TAKE_PROFIT,18.96,18527.72
AMD,2026-04-21,2026-04-24,284.49,327.65,TAKE_PROFIT,15.17,21338.74
AMD,2026-04-27,2026-05-06,334.63,393.56,TAKE_PROFIT,17.61,25096.69
AMD,2026-05-08,2026-05-19,455.19,401.43,STOP_LOSS,-11.81,22132.42
