Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
AMZN,2021-09-15,2021-09-20,173.79,167.97,STOP_LOSS,-3.35,9665.0
AMZN,2021-11-05,2021-12-03,175.95,167.62,STOP_LOSS,-4.73,9207.69
AMZN,2022-08-01,2022-09-01,135.39,124.05,STOP_LOSS,-8.38,8436.47
AMZN,2022-09-09,2022-09-16,133.27,124.89,STOP_LOSS,-6.29,7905.72
AMZN,2023-02-01,2023-02-07,105.15,98.09,STOP_LOSS,-6.71,7375.23
AMZN,2023-04-11,2023-04-27,99.92,110.4,TAKE_PROFIT,10.49,8148.78
AMZN,2023-04-28,2023-05-26,105.45,120.04,TAKE_PROFIT,13.83,9276.13
AMZN,2023-05-30,2023-07-14,121.66,134.73,TAKE_PROFIT,10.74,10272.34
AMZN,2023-07-18,2023-07-26,132.83,127.38,STOP_LOSS,-4.1,9850.98
AMZN,2023-08-04,2023-08-18,139.57,131.19,STOP_LOSS,-6.01,9259.31
AMZN,2023-08-31,2023-09-21,138.01,132.29,STOP_LOSS,-4.15,8875.45
AMZN,2023-11-15,2024-01-24,143.2,158.32,TAKE_PROFIT,10.56,9812.58
AMZN,2024-01-25,2024-02-02,157.75,169.77,TAKE_PROFIT,7.62,10560.26
AMZN,2024-02-05,2024-04-05,170.31,186.0,TAKE_PROFIT,9.21,11533.05
AMZN,2024-04-08,2024-04-19,185.19,178.59,STOP_LOSS,-3.56,11122.2
AMZN,2024-04-26,2024-06-27,179.62,198.85,TAKE_PROFIT,10.71,12313.2
AMZN,2024-06-28,2024-07-18,193.25,184.64,STOP_LOSS,-4.45,11764.78
AMZN,2024-07-31,2024-08-02,186.98,176.49,STOP_LOSS,-5.61,11105.02
AMZN,2024-09-18,2024-11-06,186.43,205.77,TAKE_PROFIT,10.38,12257.21
AMZN,2024-11-07,2024-11-19,210.05,199.4,STOP_LOSS,-5.07,11635.66
AMZN,2024-12-04,2025-01-28,218.16,239.98,TAKE_PROFIT,10.0,12799.44
AMZN,2025-01-31,2025-02-18,237.68,226.86,STOP_LOSS,-4.55,12216.61
AMZN,2025-05-30,2025-07-21,205.01,227.72,TAKE_PROFIT,11.08,13569.99
AMZN,2025-07-31,2025-08-01,234.11,227.21,STOP_LOSS,-2.95,13169.88
AMZN,2025-08-14,2025-09-25,230.98,219.06,STOP_LOSS,-5.16,12490.39
AMZN,2025-10-31,2025-11-17,244.22,230.58,STOP_LOSS,-5.58,11793.01
AMZN,2025-12-02,2025-12-15,234.42,221.78,STOP_LOSS,-5.39,11157.2
AMZN,2026-01-05,2026-02-05,233.06,224.43,STOP_LOSS,-3.7,10743.99
AMZN,2026-04-14,2026-05-05,249.02,278.43,TAKE_PROFIT,11.81,12012.94
AMZN,2026-05-29,2026-06-02,270.64,257.79,STOP_LOSS,-4.75,11442.7
