Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
META,2021-09-13,2021-09-17,376.51,363.27,STOP_LOSS,-3.52,9648.31
META,2023-01-12,2023-02-02,136.71,153.65,TAKE_PROFIT,12.39,10844.05
META,2023-02-03,2023-02-17,186.53,170.33,STOP_LOSS,-8.68,9902.5
META,2023-02-28,2023-03-15,174.94,197.57,TAKE_PROFIT,12.94,11183.72
META,2023-03-16,2023-04-27,204.93,233.91,TAKE_PROFIT,14.14,12765.1
META,2023-04-28,2023-05-30,240.32,266.7,TAKE_PROFIT,10.98,14166.48
META,2023-05-31,2023-06-23,264.72,289.55,TAKE_PROFIT,9.38,15495.18
META,2023-06-26,2023-07-13,278.47,312.38,TAKE_PROFIT,12.18,17381.83
META,2023-07-26,2023-08-18,298.57,280.28,STOP_LOSS,-6.13,16316.88
META,2023-08-29,2023-10-26,297.99,280.02,STOP_LOSS,-6.03,15332.9
META,2023-11-29,2023-12-04,332.2,318.36,STOP_LOSS,-4.17,14694.17
META,2023-12-07,2023-12-21,326.59,355.41,TAKE_PROFIT,8.82,15990.86
META,2024-01-02,2024-01-12,346.29,376.33,TAKE_PROFIT,8.67,17377.91
META,2024-01-18,2024-02-02,376.13,408.98,TAKE_PROFIT,8.73,18895.44
META,2024-02-05,2024-03-08,459.41,520.92,TAKE_PROFIT,13.39,21425.51
META,2024-03-11,2024-04-25,483.59,455.4,STOP_LOSS,-5.83,20176.68
META,2024-06-05,2024-07-05,495.06,534.72,TAKE_PROFIT,8.01,21793.06
META,2024-07-08,2024-07-12,529.32,502.64,STOP_LOSS,-5.04,20694.66
META,2024-09-12,2024-10-01,525.6,579.56,TAKE_PROFIT,10.27,22819.36
META,2024-10-04,2024-10-21,595.94,570.9,STOP_LOSS,-4.2,21860.6
META,2024-10-28,2024-11-06,578.16,556.16,STOP_LOSS,-3.81,21028.6
META,2024-11-07,2024-11-15,591.7,562.05,STOP_LOSS,-5.01,19974.71
META,2024-12-02,2025-01-24,592.83,649.22,TAKE_PROFIT,9.51,21874.56
META,2025-01-27,2025-03-07,659.88,617.91,STOP_LOSS,-6.36,20483.43
META,2025-05-16,2025-06-26,640.34,727.18,TAKE_PROFIT,13.56,23261.21
META,2025-06-27,2025-07-16,733.63,704.91,STOP_LOSS,-3.91,22350.58
META,2025-07-31,2025-08-20,773.44,735.92,STOP_LOSS,-4.85,21266.38
META,2025-09-08,2025-10-01,752.3,722.96,STOP_LOSS,-3.9,20437.07
META,2026-01-30,2026-02-04,716.5,671.58,STOP_LOSS,-6.27,19155.71
META,2026-04-29,2026-04-30,669.12,637.5,STOP_LOSS,-4.73,18250.41
