Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
NVDA,2021-09-22,2021-09-28,21.94,20.77,STOP_LOSS,-5.35,9465.12
NVDA,2021-10-22,2021-10-26,22.73,24.93,TAKE_PROFIT,9.72,10385.09
NVDA,2021-10-27,2021-11-04,24.45,27.05,TAKE_PROFIT,10.61,11487.32
NVDA,2021-11-05,2021-11-22,29.75,34.22,TAKE_PROFIT,15.02,13212.43
NVDA,2021-11-23,2021-12-14,31.75,27.8,STOP_LOSS,-12.43,11569.48
NVDA,2021-12-15,2022-01-10,30.46,26.79,STOP_LOSS,-12.06,10174.72
NVDA,2022-08-08,2022-08-29,17.79,16.1,STOP_LOSS,-9.53,9204.88
NVDA,2022-11-11,2022-12-27,16.33,14.67,STOP_LOSS,-10.14,8271.18
NVDA,2023-01-09,2023-01-23,15.63,18.6,TAKE_PROFIT,19.01,9843.21
NVDA,2023-01-24,2023-02-08,19.26,22.55,TAKE_PROFIT,17.06,11522.3
NVDA,2023-02-09,2023-03-22,22.34,26.49,TAKE_PROFIT,18.6,13665.09
NVDA,2023-03-23,2023-05-18,27.19,31.36,TAKE_PROFIT,15.33,15759.62
NVDA,2023-05-19,2023-05-25,31.26,34.82,TAKE_PROFIT,11.38,17552.42
NVDA,2023-05-26,2023-07-13,38.95,44.94,TAKE_PROFIT,15.39,20254.6
NVDA,2023-07-14,2023-08-09,45.47,42.5,STOP_LOSS,-6.53,18932.48
NVDA,2023-08-21,2023-09-18,46.97,43.09,STOP_LOSS,-8.24,17371.67
NVDA,2023-10-06,2023-10-17,45.76,43.14,STOP_LOSS,-5.73,16377.09
NVDA,2023-11-09,2024-01-09,46.95,53.19,TAKE_PROFIT,13.28,18552.43
NVDA,2024-01-10,2024-01-22,54.35,59.92,TAKE_PROFIT,10.25,20453.17
NVDA,2024-01-24,2024-02-05,61.36,68.68,TAKE_PROFIT,11.92,22890.98
NVDA,2024-02-06,2024-02-22,68.22,76.65,TAKE_PROFIT,12.35,25718.84
NVDA,2024-02-23,2024-03-08,78.82,93.18,TAKE_PROFIT,18.22,30405.5
NVDA,2024-03-11,2024-04-19,85.77,76.87,STOP_LOSS,-10.39,27247.5
NVDA,2024-04-26,2024-05-23,87.74,105.59,TAKE_PROFIT,20.35,32793.68
NVDA,2024-05-24,2024-06-05,106.47,119.7,TAKE_PROFIT,12.42,36867.97
NVDA,2024-06-06,2024-07-25,121.0,110.76,STOP_LOSS,-8.46,33747.59
NVDA,2024-08-22,2024-09-03,123.74,110.34,STOP_LOSS,-10.83,30093.79
NVDA,2024-09-24,2024-10-17,120.87,140.6,TAKE_PROFIT,16.32,35006.45
NVDA,2024-10-23,2024-12-17,139.56,130.24,STOP_LOSS,-6.68,32668.67
NVDA,2025-01-02,2025-01-27,138.31,128.02,STOP_LOSS,-7.44,30237.51
NVDA,2025-05-14,2025-06-25,135.34,154.18,TAKE_PROFIT,13.92,34447.36
NVDA,2025-06-27,2025-07-15,157.75,171.38,TAKE_PROFIT,8.64,37422.77
NVDA,2025-07-22,2025-07-31,167.03,182.52,TAKE_PROFIT,9.28,40894.23
NVDA,2025-08-01,2025-09-05,173.72,164.82,STOP_LOSS,-5.12,38798.47
NVDA,2025-09-10,2025-10-28,177.33,198.79,TAKE_PROFIT,12.1,43493.76
NVDA,2025-10-29,2025-11-06,207.04,193.49,STOP_LOSS,-6.54,40647.85
NVDA,2025-11-10,2025-11-14,199.05,182.79,STOP_LOSS,-8.17,37327.12
NVDA,2026-01-05,2026-01-20,188.12,178.34,STOP_LOSS,-5.2,35385.7
NVDA,2026-01-29,2026-02-03,192.51,182.56,STOP_LOSS,-5.17,33557.29
NVDA,2026-02-12,2026-03-20,186.94,173.34,STOP_LOSS,-7.28,31115.47
NVDA,2026-04-15,2026-05-11,198.87,220.18,TAKE_PROFIT,10.71,34449.43
NVDA,2026-05-12,2026-06-05,220.78,204.63,STOP_LOSS,-7.32,31929.24
NVDA,2026-06-18,2026-06-25,210.69,193.7,STOP_LOSS,-8.06,29354.47
