Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
QQQ,2021-09-13,2021-09-20,376.33,369.8,STOP_LOSS,-1.74,9826.48
QQQ,2021-10-26,2021-11-04,379.12,396.77,TAKE_PROFIT,4.66,10283.99
QQQ,2021-11-05,2021-11-10,398.6,390.09,STOP_LOSS,-2.14,10064.36
QQQ,2021-11-18,2021-11-23,401.75,393.0,STOP_LOSS,-2.18,9845.05
QQQ,2021-11-24,2021-12-01,398.76,388.6,STOP_LOSS,-2.55,9594.32
QQQ,2021-12-07,2021-12-20,397.83,380.97,STOP_LOSS,-4.24,9187.81
QQQ,2022-01-04,2022-01-06,396.47,382.56,STOP_LOSS,-3.51,8865.46
QQQ,2022-08-19,2022-08-26,322.86,310.36,STOP_LOSS,-3.87,8522.11
QQQ,2022-11-30,2022-12-07,293.36,279.89,STOP_LOSS,-4.59,8130.76
QQQ,2022-12-13,2022-12-15,288.65,276.99,STOP_LOSS,-4.04,7802.28
QQQ,2023-01-25,2023-02-02,287.73,310.71,TAKE_PROFIT,7.99,8425.42
QQQ,2023-02-03,2023-02-22,306.18,292.69,STOP_LOSS,-4.41,8054.17
QQQ,2023-03-03,2023-03-10,299.68,288.86,STOP_LOSS,-3.61,7763.33
QQQ,2023-03-14,2023-03-31,297.37,320.81,TAKE_PROFIT,7.88,8375.35
QQQ,2023-04-12,2023-05-18,313.04,332.34,TAKE_PROFIT,6.16,8891.64
QQQ,2023-05-19,2023-05-30,336.51,352.78,TAKE_PROFIT,4.84,9321.66
QQQ,2023-05-31,2023-06-15,347.99,366.85,TAKE_PROFIT,5.42,9826.86
QQQ,2023-06-16,2023-08-18,367.93,357.34,STOP_LOSS,-2.88,9543.94
QQQ,2023-08-29,2023-09-21,374.77,362.47,STOP_LOSS,-3.28,9230.71
QQQ,2023-11-10,2023-12-13,378.39,401.21,TAKE_PROFIT,6.03,9787.47
QQQ,2023-12-14,2024-01-22,403.39,422.64,TAKE_PROFIT,4.77,10254.49
QQQ,2024-01-24,2024-03-08,425.83,447.07,TAKE_PROFIT,4.99,10766.05
QQQ,2024-03-12,2024-04-15,443.66,431.17,STOP_LOSS,-2.81,10463.03
QQQ,2024-05-15,2024-06-12,452.9,475.23,TAKE_PROFIT,4.93,10978.94
QQQ,2024-06-17,2024-07-24,485.06,473.34,STOP_LOSS,-2.42,10713.7
QQQ,2024-08-29,2024-09-06,470.66,455.12,STOP_LOSS,-3.3,10359.86
QQQ,2024-09-18,2024-11-06,471.44,506.39,TAKE_PROFIT,7.41,11127.91
QQQ,2024-11-07,2024-11-15,513.54,498.72,STOP_LOSS,-2.89,10806.69
QQQ,2024-11-21,2024-12-16,504.98,533.54,TAKE_PROFIT,5.66,11417.88
QQQ,2024-12-17,2024-12-18,535.8,524.14,STOP_LOSS,-2.18,11169.4
QQQ,2024-12-23,2025-01-02,522.87,506.96,STOP_LOSS,-3.04,10829.6
QQQ,2025-01-06,2025-01-10,524.54,505.0,STOP_LOSS,-3.73,10426.18
QQQ,2025-01-15,2025-02-28,516.7,498.0,STOP_LOSS,-3.62,10048.81
QQQ,2025-05-13,2025-07-03,515.59,555.02,TAKE_PROFIT,7.65,10817.33
QQQ,2025-07-07,2025-08-12,552.03,577.94,TAKE_PROFIT,4.69,11325.08
QQQ,2025-08-14,2025-08-20,579.89,565.91,STOP_LOSS,-2.41,11052.08
QQQ,2025-08-22,2025-09-19,571.97,598.22,TAKE_PROFIT,4.59,11559.33
QQQ,2025-09-22,2025-09-25,602.2,591.2,STOP_LOSS,-1.83,11348.18
QQQ,2025-10-07,2025-10-10,604.51,592.49,STOP_LOSS,-1.99,11122.49
QQQ,2025-10-13,2025-10-28,602.01,633.3,TAKE_PROFIT,5.2,11700.51
QQQ,2025-10-29,2025-11-06,635.77,614.87,STOP_LOSS,-3.29,11315.9
QQQ,2025-12-19,2026-02-05,617.05,600.11,STOP_LOSS,-2.75,11005.19
QQQ,2026-05-07,2026-05-27,694.94,732.13,TAKE_PROFIT,5.35,11594.2
QQQ,2026-06-03,2026-06-05,744.21,724.4,STOP_LOSS,-2.66,11285.55
