Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,PnL %,Balance
TSLA,2021-09-13,2021-10-13,247.67,271.09,TAKE_PROFIT,9.46,10945.78
TSLA,2021-10-18,2021-10-25,290.04,315.97,TAKE_PROFIT,8.94,11924.38
TSLA,2021-10-26,2021-11-01,339.48,384.22,TAKE_PROFIT,13.18,13495.87
TSLA,2021-11-02,2021-11-09,390.67,358.18,STOP_LOSS,-8.31,12373.71
TSLA,2021-11-10,2021-12-16,355.98,307.84,STOP_LOSS,-13.52,10700.4
TSLA,2021-12-22,2022-01-24,336.29,298.12,STOP_LOSS,-11.35,9485.88
TSLA,2022-03-28,2022-04-11,363.95,331.37,STOP_LOSS,-8.95,8636.72
TSLA,2022-04-21,2022-04-26,336.26,299.65,STOP_LOSS,-10.89,7696.41
TSLA,2022-07-29,2022-08-31,297.15,272.25,STOP_LOSS,-8.38,7051.54
TSLA,2022-09-13,2022-09-26,292.13,270.36,STOP_LOSS,-7.45,6525.93
TSLA,2023-02-09,2023-03-08,207.32,183.03,STOP_LOSS,-11.72,5761.39
TSLA,2023-03-31,2023-04-04,207.46,190.42,STOP_LOSS,-8.21,5288.25
TSLA,2023-05-26,2023-06-07,193.17,222.69,TAKE_PROFIT,15.28,6096.31
TSLA,2023-06-08,2023-06-20,234.86,271.77,TAKE_PROFIT,15.71,7054.28
TSLA,2023-06-21,2023-08-14,259.46,237.11,STOP_LOSS,-8.61,6446.7
TSLA,2023-09-01,2023-10-19,245.01,223.52,STOP_LOSS,-8.77,5881.33
TSLA,2023-12-13,2024-01-12,239.29,222.64,STOP_LOSS,-6.96,5472.0
TSLA,2024-06-17,2024-07-02,187.44,216.83,TAKE_PROFIT,15.68,6330.11
TSLA,2024-07-03,2024-07-24,246.39,226.58,STOP_LOSS,-8.04,5821.2
TSLA,2024-08-23,2024-09-26,220.32,259.05,TAKE_PROFIT,17.58,6844.47
TSLA,2024-09-30,2024-10-02,261.63,243.79,STOP_LOSS,-6.82,6377.76
TSLA,2024-10-04,2024-10-11,250.08,229.12,STOP_LOSS,-8.38,5843.19
TSLA,2024-10-24,2024-11-04,260.48,239.36,STOP_LOSS,-8.11,5369.35
TSLA,2024-11-06,2024-11-11,288.53,342.16,TAKE_PROFIT,18.59,6367.45
TSLA,2024-11-12,2024-12-10,328.49,408.39,TAKE_PROFIT,24.32,7916.18
TSLA,2024-12-11,2025-01-02,424.77,390.28,STOP_LOSS,-8.12,7273.38
TSLA,2025-01-17,2025-02-03,426.5,376.68,STOP_LOSS,-11.68,6423.74
TSLA,2025-05-13,2025-06-05,334.07,301.15,STOP_LOSS,-9.85,5790.76
TSLA,2025-06-10,2025-09-15,326.09,405.28,TAKE_PROFIT,24.29,7197.11
TSLA,2025-09-16,2025-11-14,421.62,391.98,STOP_LOSS,-7.03,6691.2
TSLA,2025-12-03,2026-02-04,446.74,407.56,STOP_LOSS,-8.77,6104.3
TSLA,2026-05-11,2026-05-18,445.0,414.03,STOP_LOSS,-6.96,5679.41
